name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Brandon Allen,2011,Arizona Diamondbacks,29,5,5,3,7,7,13,.172,.351,.483,.834,hitter
Brett Anderson,2011,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Andrew Bailey,2011,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Grant Balfour,2011,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Daric Barton,2011,Oakland Athletics,236,27,50,0,21,39,47,.212,.325,.267,.592,hitter
Bruce Billings,2011,Colorado Rockies,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Jerry Blevins,2011,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Craig Breslow,2011,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Trevor Cahill,2011,Oakland Athletics,5,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Chris Carter,2011,Oakland Athletics,44,2,6,0,0,2,20,.136,.174,.136,.310,hitter
Coco Crisp,2011,Oakland Athletics,531,69,140,8,54,41,65,.264,.314,.379,.693,hitter
David DeJesus,2011,Oakland Athletics,442,60,106,10,46,45,86,.240,.323,.376,.699,hitter
Joey Devine,2011,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Mark Ellis,2011,Oakland Athletics,217,21,47,1,16,8,32,.217,.253,.290,.543,hitter
Brian Fuentes,2011,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Graham Godfrey,2011,Oakland Athletics,2,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Gio González,2011,Oakland Athletics,3,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Conor Jackson,2011,Oakland Athletics,333,30,83,4,38,30,50,.249,.315,.342,.657,hitter
Kevin Kouzmanoff,2011,Oakland Athletics,136,13,30,4,17,8,27,.221,.262,.353,.615,hitter
Andy LaRoche,2011,Oakland Athletics,93,10,23,0,5,8,19,.247,.320,.333,.653,hitter
Hideki Matsui,2011,Oakland Athletics,517,58,130,12,72,56,84,.251,.321,.375,.696,hitter
Jai Miller,2011,Oakland Athletics,12,2,3,1,2,0,5,.250,.250,.500,.750,hitter
Guillermo Moscoso,2011,Oakland Athletics,2,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Josh Outman,2011,Oakland Athletics,5,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Cliff Pennington,2011,Oakland Athletics,515,57,136,8,58,42,104,.264,.319,.369,.688,hitter
