name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Austin Allen,2022,Oakland Athletics,14,1,1,0,0,1,9,.071,.188,.071,.259,hitter
Nick Allen,2022,Oakland Athletics,299,31,62,4,19,19,64,.207,.256,.291,.547,hitter
Elvis Andrus,2022,Oakland Athletics,354,41,84,8,30,30,62,.237,.301,.373,.674,hitter
Luis Barrera,2022,Oakland Athletics,77,3,18,1,7,6,17,.234,.294,.338,.632,hitter
Christian Bethancourt,2022,Oakland Athletics,169,23,42,4,19,10,41,.249,.298,.385,.683,hitter
Skye Bolt,2022,Oakland Athletics,106,10,21,4,13,7,30,.198,.259,.330,.589,hitter
Jonah Bride,2022,Oakland Athletics,162,17,33,1,6,19,32,.204,.301,.247,.548,hitter
Seth Brown,2022,Oakland Athletics,500,55,115,25,73,51,146,.230,.305,.444,.749,hitter
Conner Capel,2022,St. Louis Cardinals,17,1,3,1,2,1,2,.176,.211,.353,.564,hitter
Ernie Clement,2022,Cleveland Guardians,145,18,29,0,6,11,24,.200,.264,.221,.485,hitter
Matt Davidson,2022,Arizona Diamondbacks,10,1,1,1,1,3,3,.100,.308,.400,.708,hitter
Jordan Diaz,2022,Oakland Athletics,49,3,13,0,1,2,7,.265,.294,.327,.621,hitter
Dérmis Garcia,2022,Oakland Athletics,116,13,24,5,20,8,55,.207,.264,.388,.652,hitter
Justin Grimm,2022,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Drew Jackson,2022,Oakland Athletics,3,0,0,0,0,0,1,.000,.000,.000,.000,hitter
James Kaprielian,2022,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Tony Kemp,2022,Oakland Athletics,497,61,117,7,46,45,69,.235,.307,.334,.641,hitter
Shea Langeliers,2022,Oakland Athletics,142,14,31,6,22,9,53,.218,.261,.430,.691,hitter
Ramón Laureano,2022,Oakland Athletics,346,49,73,13,34,25,104,.211,.287,.376,.663,hitter
Christian Lopes,2022,Oakland Athletics,9,0,0,0,0,1,5,.000,.100,.000,.100,hitter
