name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Joe Blanton,2005,Oakland Athletics,3,0,1,0,0,0,0,.333,.333,.333,.666,hitter
Hiram Bocachica,2005,Oakland Athletics,19,2,2,0,0,0,7,.105,.105,.105,.210,hitter
Freddie Bynum,2005,Oakland Athletics,7,0,2,0,1,0,3,.286,.286,.429,.715,hitter
Eric Byrnes,2005,Oakland Athletics,192,30,51,7,24,14,27,.266,.336,.474,.810,hitter
Kiko Calero,2005,Oakland Athletics,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Alberto Castillo,2005,Kansas City Royals,100,13,21,1,14,12,21,.210,.292,.310,.602,hitter
Eric Chavez,2005,Oakland Athletics,625,92,168,27,101,58,129,.269,.329,.466,.795,hitter
Jermaine Clark,2005,Oakland Athletics,0,2,0,0,0,1,0,.000,1.000,.000,1.000,hitter
Bobby Crosby,2005,Oakland Athletics,333,66,92,9,38,35,54,.276,.346,.456,.802,hitter
Juan Cruz,2005,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Justin Duchscherer,2005,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Erubiel Durazo,2005,Oakland Athletics,152,15,36,4,16,14,24,.237,.305,.368,.673,hitter
Mark Ellis,2005,Oakland Athletics,434,76,137,13,52,44,51,.316,.384,.477,.861,hitter
Keith Ginter,2005,Oakland Athletics,137,12,22,3,25,13,25,.161,.234,.263,.497,hitter
Ryan Glynn,2005,Oakland Athletics,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Dan Haren,2005,Oakland Athletics,5,0,2,0,2,0,0,.400,.400,.600,1.000,hitter
Tim Harikkala,2005,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Scott Hatteberg,2005,Oakland Athletics,464,52,119,7,59,51,54,.256,.334,.343,.677,hitter
Dan Johnson,2005,Oakland Athletics,375,54,103,15,58,50,52,.275,.355,.451,.806,hitter
Jason Kendall,2005,Oakland Athletics,601,70,163,0,53,50,39,.271,.345,.321,.666,hitter
Joe Kennedy,2005,Colorado Rockies,29,1,5,0,1,1,8,.172,.200,.172,.372,hitter
Bobby Kielty,2005,Oakland Athletics,377,55,99,10,57,50,67,.263,.350,.395,.745,hitter
Mark Kotsay,2005,Oakland Athletics,582,75,163,15,82,40,51,.280,.325,.421,.746,hitter
Adam Melhuse,2005,Oakland Athletics,97,11,24,2,12,5,28,.247,.284,.381,.665,hitter
Jay Payton,2005,Boston Red Sox,133,24,35,5,21,10,14,.263,.313,.429,.742,hitter
Ricardo Rincon,2005,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Kirk Saarloos,2005,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Marco Scutaro,2005,Oakland Athletics,381,48,94,9,37,36,48,.247,.310,.391,.701,hitter
Huston Street,2005,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Nick Swisher,2005,Oakland Athletics,462,66,109,21,74,55,110,.236,.322,.446,.768,hitter
Charles Thomas,2005,Oakland Athletics,46,4,5,0,1,5,8,.109,.255,.109,.364,hitter
Matt Watson,2005,Oakland Athletics,48,4,9,0,5,2,4,.188,.220,.250,.470,hitter
Jay Witasick,2005,Colorado Rockies,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Keiichi Yabu,2005,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Barry Zito,2005,Oakland Athletics,7,0,1,0,0,0,2,.143,.143,.143,.286,hitter
Alfredo Amezaga,2005,Colorado Rockies,3,1,1,0,0,0,0,.333,.333,.333,.666,hitter
José Bautista,2005,Pittsburgh Pirates,28,3,4,0,1,3,7,.143,.226,.179,.405,hitter
Jason Bay,2005,Pittsburgh Pirates,599,110,183,32,101,95,142,.306,.402,.559,.961,hitter
