name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Jesús Aguilar,2023,Oakland Athletics,104,8,23,5,9,8,31,.221,.281,.385,.666,hitter
Nick Allen,2023,Oakland Athletics,303,29,67,4,20,17,52,.221,.263,.287,.550,hitter
JJ Bleday,2023,Oakland Athletics,256,35,50,10,27,42,72,.195,.310,.355,.665,hitter
Jonah Bride,2023,Oakland Athletics,88,9,15,0,7,11,22,.170,.286,.205,.491,hitter
Seth Brown,2023,Oakland Athletics,343,33,76,14,52,30,101,.222,.286,.405,.691,hitter
Lawrence Butler,2023,Oakland Athletics,123,10,26,4,10,4,35,.211,.240,.341,.581,hitter
Conner Capel,2023,Oakland Athletics,73,6,19,0,3,12,25,.260,.372,.329,.701,hitter
Aledmys Díaz,2023,Oakland Athletics,315,25,72,4,24,17,66,.229,.280,.337,.617,hitter
Jordan Diaz,2023,Oakland Athletics,272,20,60,10,27,17,69,.221,.273,.364,.637,hitter
Shintaro Fujinami,2023,Baltimore Orioles,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Zack Gelof,2023,Oakland Athletics,270,40,72,14,32,26,82,.267,.337,.504,.841,hitter
Tony Kemp,2023,Oakland Athletics,359,42,75,5,27,44,40,.209,.303,.304,.607,hitter
Shea Langeliers,2023,Oakland Athletics,448,52,92,22,63,34,143,.205,.268,.413,.681,hitter
Ramón Laureano,2023,Oakland Athletics,225,24,48,6,21,17,73,.213,.280,.364,.644,hitter
Ryan Noda,2023,Oakland Athletics,406,63,93,16,54,77,170,.229,.364,.406,.770,hitter
Carlos Pérez,2023,Oakland Athletics,168,17,38,6,20,13,40,.226,.293,.357,.650,hitter
Jace Peterson,2023,Oakland Athletics,281,30,62,6,28,36,77,.221,.313,.324,.637,hitter
Manny Piña,2023,Oakland Athletics,12,1,3,1,1,0,3,.250,.250,.500,.750,hitter
Brent Rooker,2023,Oakland Athletics,463,61,114,30,69,49,172,.246,.329,.488,.817,hitter
Esteury Ruiz,2023,Oakland Athletics,449,47,114,5,47,20,99,.254,.309,.345,.654,hitter
Tayler Scott,2023,Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Kevin Smith,2023,Oakland Athletics,135,15,25,5,11,5,51,.185,.220,.326,.546,hitter
Tyler Soderstrom,2023,Oakland Athletics,125,9,20,3,7,11,43,.160,.232,.240,.472,hitter
Cody Thomas,2023,Oakland Athletics,42,1,10,1,2,4,17,.238,.304,.381,.685,hitter
Tyler Wade,2023,Oakland Athletics,51,8,13,0,2,4,13,.255,.309,.314,.623,hitter
Miguel Andujar,2023,Pittsburgh Pirates,84,9,21,4,18,6,13,.250,.300,.476,.776,hitter
Ji Hwan Bae,2023,Pittsburgh Pirates,334,54,77,2,32,30,92,.231,.296,.311,.607,hitter
Vinny Capra,2023,Pittsburgh Pirates,18,3,3,0,1,2,5,.167,.250,.222,.472,hitter
Rodolfo Castro,2023,Pittsburgh Pirates,197,19,45,6,22,21,62,.228,.317,.355,.672,hitter
Ji Man Choi,2023,Pittsburgh Pirates,73,9,15,6,11,2,27,.205,.224,.507,.731,hitter
Oneil Cruz,2023,Pittsburgh Pirates,32,7,8,1,4,7,8,.250,.375,.375,.750,hitter
Henry Davis,2023,Pittsburgh Pirates,225,27,48,7,24,25,69,.213,.302,.351,.653,hitter
Jason Delay,2023,Pittsburgh Pirates,167,20,42,1,18,14,44,.251,.319,.347,.666,hitter
Nick Gonzales,2023,Pittsburgh Pirates,115,12,24,2,13,6,36,.209,.268,.348,.616,hitter
Ke'Bryan Hayes,2023,Pittsburgh Pirates,494,65,134,15,61,28,104,.271,.309,.453,.762,hitter
Austin Hedges,2023,Pittsburgh Pirates,161,13,29,1,14,11,39,.180,.237,.230,.467,hitter
Tyler Heineman,2023,Pittsburgh Pirates,9,1,1,0,0,1,1,.111,.200,.111,.311,hitter
Connor Joe,2023,Pittsburgh Pirates,413,63,102,11,42,50,110,.247,.339,.421,.760,hitter
Drew Maggi,2023,Pittsburgh Pirates,6,1,2,0,1,0,1,.333,.333,.500,.833,hitter
Tucupita Marcano,2023,Pittsburgh Pirates,202,16,47,3,18,10,35,.233,.276,.356,.632,hitter
Mark Mathias,2023,Pittsburgh Pirates,52,5,12,0,4,10,11,.231,.355,.269,.624,hitter
Andrew McCutchen,2023,Pittsburgh Pirates,390,55,100,12,43,75,100,.256,.378,.397,.775,hitter
Cal Mitchell,2023,Pittsburgh Pirates,4,0,0,0,0,1,1,.000,.200,.000,.200,hitter
Chris Owings,2023,Pittsburgh Pirates,25,0,4,0,0,0,12,.160,.160,.160,.320,hitter
Joshua Palacios,2023,Pittsburgh Pirates,247,26,59,10,40,12,56,.239,.279,.413,.692,hitter
Liover Peguero,2023,Pittsburgh Pirates,198,21,47,7,26,11,67,.237,.280,.374,.654,hitter
Bryan Reynolds,2023,Pittsburgh Pirates,574,85,151,24,84,53,138,.263,.330,.460,.790,hitter
Alfonso Rivas III,2023,San Diego Padres,15,2,3,0,1,2,7,.200,.294,.333,.627,hitter
Endy Rodríguez,2023,Pittsburgh Pirates,186,27,41,3,13,17,49,.220,.284,.328,.612,hitter
Carlos Santana,2023,Pittsburgh Pirates,345,45,81,12,53,45,69,.235,.321,.412,.733,hitter
Canaan Smith-Njigba,2023,Pittsburgh Pirates,32,3,4,0,5,4,16,.125,.216,.219,.435,hitter
Jack Suwinski,2023,Pittsburgh Pirates,447,63,100,26,74,75,172,.224,.339,.454,.793,hitter
Jared Triolo,2023,Pittsburgh Pirates,181,30,54,3,21,24,63,.298,.388,.398,.786,hitter
Alika Williams,2023,Pittsburgh Pirates,101,7,20,0,6,9,35,.198,.270,.248,.518,hitter
José Azocar,2023,San Diego Padres,91,16,21,2,9,4,24,.231,.278,.363,.641,hitter
Scott Barlow,2023,Kansas City Royals,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Matthew Batten,2023,San Diego Padres,120,19,31,2,11,17,30,.258,.355,.358,.713,hitter
Xander Bogaerts,2023,San Diego Padres,596,83,170,19,58,56,110,.285,.350,.440,.790,hitter
Luis Campusano,2023,San Diego Padres,163,27,52,7,30,7,21,.319,.356,.491,.847,hitter
Matt Carpenter,2023,San Diego Padres,188,18,33,5,31,41,67,.176,.322,.319,.641,hitter
Ji Man Choi,2023,Pittsburgh Pirates,73,9,15,6,11,2,27,.205,.224,.507,.731,hitter
Garrett Cooper,2023,Miami Marlins,305,28,78,13,46,17,97,.256,.296,.426,.722,hitter
Jake Cronenworth,2023,San Diego Padres,458,54,105,10,48,46,97,.229,.312,.378,.690,hitter
Nelson Cruz,2023,San Diego Padres,143,9,35,5,23,6,46,.245,.283,.399,.682,hitter
David Dahl,2023,San Diego Padres,9,1,1,1,1,0,2,.111,.111,.444,.555,hitter
Brandon Dixon,2023,San Diego Padres,79,10,16,2,9,1,31,.203,.244,.329,.573,hitter
Adam Engel,2023,San Diego Padres,6,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Ben Gamel,2023,San Diego Padres,15,2,3,0,2,0,2,.200,.200,.267,.467,hitter
Trent Grisham,2023,San Diego Padres,469,67,93,13,50,75,154,.198,.315,.352,.667,hitter
Josh Hader,2023,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Ha-Seong Kim,2023,San Diego Padres,538,84,140,17,60,75,124,.260,.351,.398,.749,hitter
Taylor Kohlwey,2023,San Diego Padres,13,0,2,0,0,0,5,.154,.154,.154,.308,hitter
Manny Machado,2023,San Diego Padres,543,75,140,30,91,50,109,.258,.319,.462,.781,hitter
Austin Nola,2023,San Diego Padres,130,9,19,1,8,18,31,.146,.260,.192,.452,hitter
Rougned Odor,2023,San Diego Padres,138,21,28,4,18,17,37,.203,.299,.355,.654,hitter
Jurickson Profar,2023,Colorado Rockies,415,51,98,8,39,45,86,.236,.316,.364,.680,hitter
Alfonso Rivas III,2023,San Diego Padres,15,2,3,0,1,2,7,.200,.294,.333,.627,hitter
Eguy Rosario,2023,San Diego Padres,36,6,9,2,6,1,12,.250,.270,.500,.770,hitter
Gary Sánchez,2023,New York Mets,6,0,1,0,1,0,3,.167,.143,.167,.310,hitter
Chandler Seagle,2023,San Diego Padres,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Juan Soto,2023,San Diego Padres,568,97,156,35,109,132,129,.275,.410,.519,.929,hitter
Robert Suarez,2023,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Brett Sullivan,2023,San Diego Padres,81,7,17,1,6,4,19,.210,.244,.284,.528,hitter
Domingo Tapia,2023,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Fernando Tatis Jr.,2023,San Diego Padres,575,91,148,25,78,53,141,.257,.322,.449,.771,hitter
Ty Adcock,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Matt Brash,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
J.B. Bukauskas,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
José Caballero,2023,Seattle Mariners,231,37,51,4,26,28,66,.221,.343,.320,.663,hitter
Dominic Canzone,2023,Arizona Diamondbacks,38,4,9,1,8,2,8,.237,.293,.368,.661,hitter
J.P. Crawford,2023,Seattle Mariners,534,94,142,19,65,94,125,.266,.380,.438,.818,hitter
Mike Ford,2023,Seattle Mariners,219,32,50,16,34,24,81,.228,.323,.475,.798,hitter
Ty France,2023,Seattle Mariners,587,79,147,12,58,43,117,.250,.337,.366,.703,hitter
Sam Haggerty,2023,Seattle Mariners,91,13,23,1,5,15,17,.253,.364,.341,.705,hitter
Teoscar Hernández,2023,Seattle Mariners,625,70,161,26,93,38,211,.258,.305,.435,.740,hitter
Cooper Hummel,2023,Seattle Mariners,23,2,2,0,0,2,9,.087,.192,.130,.322,hitter
Jarred Kelenic,2023,Seattle Mariners,372,44,94,11,49,41,132,.253,.327,.419,.746,hitter
Tommy La Stella,2023,Seattle Mariners,21,2,4,0,2,3,5,.190,.292,.238,.530,hitter
Cade Marlowe,2023,Seattle Mariners,88,14,21,3,11,12,33,.239,.330,.420,.750,hitter
Dylan Moore,2023,Seattle Mariners,145,18,30,7,19,16,56,.207,.303,.428,.731,hitter
Andrés Muñoz,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Penn Murfee,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Tom Murphy,2023,Seattle Mariners,145,19,42,8,17,10,44,.290,.335,.538,.873,hitter
Brian O'Keefe,2023,Seattle Mariners,19,0,2,0,2,2,7,.105,.190,.211,.401,hitter
AJ Pollock,2023,Seattle Mariners,127,15,22,5,15,9,30,.173,.225,.323,.548,hitter
Cal Raleigh,2023,Seattle Mariners,513,78,119,30,75,54,158,.232,.306,.456,.762,hitter
Julio Rodríguez,2023,Seattle Mariners,654,102,180,32,103,47,175,.275,.333,.485,.818,hitter
Josh Rojas,2023,Arizona Diamondbacks,189,23,43,0,26,18,51,.228,.292,.296,.588,hitter
Tayler Saucedo,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Paul Sewald,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Eugenio Suárez,2023,Seattle Mariners,598,68,139,22,96,70,214,.232,.323,.391,.714,hitter
Justin Topa,2023,Seattle Mariners,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Luis Torrens,2023,Chicago Cubs,20,1,5,0,3,1,8,.250,.318,.300,.618,hitter
Taylor Trammell,2023,Seattle Mariners,46,7,6,3,11,9,22,.130,.286,.326,.612,hitter
Kolten Wong,2023,Seattle Mariners,194,21,32,2,19,16,46,.165,.241,.227,.468,hitter
Scott Alexander,2023,San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Patrick Bailey,2023,San Francisco Giants,326,29,76,7,48,21,100,.233,.285,.359,.644,hitter
Joey Bart,2023,San Francisco Giants,87,9,18,0,5,3,23,.207,.263,.264,.527,hitter
Matt Beaty,2023,San Francisco Giants,5,1,1,0,1,0,2,.200,.200,.200,.400,hitter
Johan Camargo,2023,San Francisco Giants,18,0,4,0,2,1,4,.222,.300,.222,.522,hitter
Michael Conforto,2023,San Francisco Giants,406,58,97,15,58,53,106,.239,.334,.384,.718,hitter
Brandon Crawford,2023,San Francisco Giants,283,31,55,7,38,28,81,.194,.273,.314,.587,hitter
J.D. Davis,2023,San Francisco Giants,480,61,119,18,69,52,152,.248,.325,.413,.738,hitter
Paul DeJong,2023,St. Louis Cardinals,279,38,65,13,32,21,87,.233,.297,.412,.709,hitter
Isan Díaz,2023,San Francisco Giants,19,0,1,0,1,2,7,.053,.143,.053,.196,hitter
Camilo Doval,2023,San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Thairo Estrada,2023,San Francisco Giants,495,63,134,14,49,22,120,.271,.315,.416,.731,hitter
