name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Jeff Baisley,2008,Oakland Athletics,43,1,11,0,5,4,7,.256,.319,.279,.598,hitter
Wes Bankston,2008,Oakland Athletics,59,4,12,1,4,2,15,.203,.238,.305,.543,hitter
Daric Barton,2008,Oakland Athletics,446,59,101,9,47,65,99,.226,.327,.348,.675,hitter
Joe Blanton,2008,Oakland Athletics,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Rob Bowen,2008,Oakland Athletics,91,6,16,1,9,4,38,.176,.219,.286,.505,hitter
Andrew Brown,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Emil Brown,2008,Oakland Athletics,402,48,98,13,59,27,65,.244,.297,.386,.683,hitter
Travis Buck,2008,Oakland Athletics,155,16,35,7,25,11,38,.226,.291,.432,.723,hitter
Kiko Calero,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Eric Chavez,2008,Oakland Athletics,89,10,22,2,14,6,18,.247,.295,.393,.688,hitter
Brooks Conrad,2008,Oakland Athletics,19,0,3,0,2,0,9,.158,.158,.211,.369,hitter
Bobby Crosby,2008,Oakland Athletics,556,66,132,7,61,47,96,.237,.296,.349,.645,hitter
Aaron Cunningham,2008,Oakland Athletics,80,7,20,1,14,6,24,.250,.310,.400,.710,hitter
Jack Cust,2008,Oakland Athletics,481,77,111,33,77,111,197,.231,.375,.476,.851,hitter
Rajai Davis,2008,San Francisco Giants,18,2,1,0,0,1,6,.056,.105,.056,.161,hitter
Chris Denorfia,2008,Oakland Athletics,62,10,18,1,9,6,16,.290,.362,.387,.749,hitter
Joey Devine,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Justin Duchscherer,2008,Oakland Athletics,6,0,0,0,0,0,6,.000,.000,.000,.000,hitter
Mark Ellis,2008,Oakland Athletics,442,55,103,12,41,53,65,.233,.321,.373,.694,hitter
Alan Embree,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Dana Eveland,2008,Oakland Athletics,4,0,1,0,0,1,2,.250,.400,.250,.650,hitter
Jeff Fiorentino,2008,Oakland Athletics,1,0,1,0,1,0,0,1.000,1.000,1.000,2.000,hitter
Keith Foulke,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Sean Gallagher,2008,Chicago Cubs,10,0,0,0,0,0,6,.000,.000,.000,.000,hitter
Chad Gaudin,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Carlos González,2008,Oakland Athletics,302,31,73,4,26,13,81,.242,.273,.361,.634,hitter
Jack Hannahan,2008,Oakland Athletics,436,48,95,9,47,55,131,.218,.305,.342,.647,hitter
Rich Harden,2008,Oakland Athletics,4,0,1,0,0,0,1,.250,.250,.250,.500,hitter
Dan Johnson,2008,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Donnie Murphy,2008,Oakland Athletics,103,10,19,3,13,11,38,.184,.274,.301,.575,hitter
Matt Murton,2008,Chicago Cubs,40,2,10,0,6,1,5,.250,.286,.300,.586,hitter
Eric Patterson,2008,Chicago Cubs,38,5,9,1,7,5,12,.237,.318,.342,.660,hitter
Cliff Pennington,2008,Oakland Athletics,99,14,24,0,9,13,18,.242,.339,.293,.632,hitter
Gregorio Petit,2008,Oakland Athletics,23,4,8,0,0,2,9,.348,.400,.435,.835,hitter
Greg Smith,2008,Oakland Athletics,2,0,1,0,0,0,1,.500,.500,.500,1.000,hitter
Huston Street,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Kurt Suzuki,2008,Oakland Athletics,530,54,148,7,42,44,69,.279,.346,.370,.716,hitter
Mike Sweeney,2008,Oakland Athletics,126,13,36,2,12,7,6,.286,.331,.397,.728,hitter
Ryan Sweeney,2008,Oakland Athletics,384,53,110,5,45,38,67,.286,.350,.383,.733,hitter
Frank Thomas,2008,Toronto Blue Jays,60,7,10,3,11,11,13,.167,.306,.333,.639,hitter
Brad Ziegler,2008,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Jimmy Barthmaier,2008,Pittsburgh Pirates,3,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Denny Bautista,2008,Pittsburgh Pirates,5,0,1,0,1,0,3,.200,.200,.200,.400,hitter
José Bautista,2008,Pittsburgh Pirates,314,38,76,12,44,38,77,.242,.325,.404,.729,hitter
Jason Bay,2008,Pittsburgh Pirates,393,72,111,22,64,59,86,.282,.375,.519,.894,hitter
T.J. Beam,2008,Pittsburgh Pirates,4,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Brian Bixler,2008,Pittsburgh Pirates,108,16,17,0,2,6,36,.157,.229,.194,.423,hitter
Sean Burnett,2008,Pittsburgh Pirates,3,1,1,0,0,0,2,.333,.333,.667,1.000,hitter
Matt Capps,2008,Pittsburgh Pirates,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Jesse Chavez,2008,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Raul Chavez,2008,Pittsburgh Pirates,116,12,30,1,10,4,14,.259,.287,.319,.606,hitter
