name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Andrew Bailey,2010,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Daric Barton,2010,Oakland Athletics,556,79,152,10,57,110,102,.273,.393,.405,.798,hitter
Jerry Blevins,2010,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Cedrick Bowers,2010,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Dallas Braden,2010,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Craig Breslow,2010,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Travis Buck,2010,Oakland Athletics,42,6,7,1,2,4,14,.167,.255,.286,.541,hitter
Trevor Cahill,2010,Oakland Athletics,3,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Matt Carson,2010,Oakland Athletics,79,7,14,4,9,2,23,.177,.193,.354,.547,hitter
Chris Carter,2010,Oakland Athletics,70,8,13,3,7,7,21,.186,.256,.329,.585,hitter
Eric Chavez,2010,Oakland Athletics,111,10,26,1,10,8,31,.234,.276,.333,.609,hitter
Coco Crisp,2010,Oakland Athletics,290,51,81,8,38,30,49,.279,.342,.438,.780,hitter
Jack Cust,2010,Oakland Athletics,349,50,95,13,52,68,127,.272,.395,.438,.833,hitter
Rajai Davis,2010,Oakland Athletics,525,66,149,5,52,26,78,.284,.320,.377,.697,hitter
Josh Donaldson,2010,Oakland Athletics,32,1,5,1,4,2,12,.156,.206,.281,.487,hitter
Mark Ellis,2010,Oakland Athletics,436,45,127,5,49,40,56,.291,.358,.381,.739,hitter
Jake Fox,2010,Oakland Athletics,98,11,21,2,12,5,26,.214,.264,.327,.591,hitter
Chad Gaudin,2010,New York Yankees,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Gio González,2010,Oakland Athletics,4,0,0,0,0,0,3,.000,.000,.000,.000,hitter
Gabe Gross,2010,Oakland Athletics,222,27,53,1,25,17,39,.239,.290,.311,.601,hitter
Jeremy Hermida,2010,Boston Red Sox,158,14,32,5,27,12,45,.203,.257,.348,.605,hitter
Akinori Iwamura,2010,Pittsburgh Pirates,165,18,30,2,9,26,31,.182,.292,.267,.559,hitter
Conor Jackson,2010,Arizona Diamondbacks,151,19,36,1,11,20,18,.238,.326,.331,.657,hitter
Kevin Kouzmanoff,2010,Oakland Athletics,551,59,136,16,71,24,96,.247,.283,.396,.679,hitter
Jeff Larish,2010,Detroit Tigers,10,0,2,0,1,0,4,.200,.200,.200,.400,hitter
Vin Mazzaro,2010,Oakland Athletics,4,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Eric Patterson,2010,Oakland Athletics,103,13,21,4,9,7,31,.204,.255,.408,.663,hitter
Cliff Pennington,2010,Oakland Athletics,508,64,127,6,46,50,96,.250,.319,.368,.687,hitter
Landon Powell,2010,Oakland Athletics,112,13,24,2,11,15,29,.214,.305,.304,.609,hitter
Adam Rosales,2010,Oakland Athletics,255,31,69,7,31,19,65,.271,.321,.400,.721,hitter
Tyson Ross,2010,Oakland Athletics,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Ben Sheets,2010,Oakland Athletics,3,0,1,0,0,0,2,.333,.333,.333,.666,hitter
Eric Sogard,2010,Oakland Athletics,7,0,3,0,0,2,1,.429,.556,.429,.985,hitter
