name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Brett Anderson,2019,Oakland Athletics,8,1,4,0,0,0,2,.500,.500,.500,1.000,hitter
Tanner Anderson,2019,Oakland Athletics,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Homer Bailey,2019,Kansas City Royals,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Franklin Barreto,2019,Oakland Athletics,57,6,7,2,5,1,23,.123,.138,.263,.401,hitter
Chris Bassitt,2019,Oakland Athletics,4,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Skye Bolt,2019,Oakland Athletics,10,1,1,0,0,1,3,.100,.182,.200,.382,hitter
Aaron Brooks,2019,Baltimore Orioles,3,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Seth Brown,2019,Athletics,75,11,22,0,13,7,23,.293,.361,.453,.814,hitter
Ryan Buchter,2019,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Mark Canha,2019,Oakland Athletics,410,80,112,26,58,67,107,.273,.396,.517,.913,hitter
Matt Chapman,2019,Oakland Athletics,583,102,145,36,91,73,147,.249,.342,.506,.848,hitter
Khris Davis,2019,Oakland Athletics,481,61,106,23,73,47,146,.220,.293,.387,.680,hitter
Jake Diekman,2019,Kansas City Royals,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Dustin Garneau,2019,Los Angeles Angels,69,11,16,2,7,8,18,.232,.346,.362,.708,hitter
Robbie Grossman,2019,Oakland Athletics,420,57,101,6,38,59,86,.240,.334,.348,.682,hitter
Liam Hendriks,2019,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Chris Herrmann,2019,Oakland Athletics,84,9,17,1,8,9,29,.202,.280,.274,.554,hitter
Nick Hundley,2019,Oakland Athletics,70,5,14,2,5,2,18,.200,.233,.357,.590,hitter
Corban Joseph,2019,Oakland Athletics,37,4,7,1,5,2,5,.189,.225,.324,.549,hitter
Ramón Laureano,2019,Oakland Athletics,434,79,125,24,67,27,123,.288,.340,.521,.861,hitter
Nick Martini,2019,Oakland Athletics,11,1,1,1,2,2,5,.091,.231,.364,.595,hitter
Daniel Mengden,2019,Oakland Athletics,2,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Frankie Montas,2019,Oakland Athletics,1,0,0,0,0,1,0,.000,.500,.000,.500,hitter
Kendrys Morales,2019,Oakland Athletics,108,9,22,1,7,14,20,.204,.310,.259,.569,hitter
Sean Murphy,2019,Oakland Athletics,53,14,13,4,8,6,16,.245,.333,.566,.899,hitter
Sheldon Neuse,2019,Oakland Athletics,56,3,14,0,7,4,19,.250,.295,.304,.599,hitter
Matt Olson,2019,Oakland Athletics,483,73,129,36,91,51,138,.267,.351,.545,.896,hitter
Yusmeiro Petit,2019,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Josh Phegley,2019,Oakland Athletics,314,44,75,12,62,15,63,.239,.282,.411,.693,hitter
Chad Pinder,2019,Oakland Athletics,341,45,82,13,47,20,88,.240,.290,.416,.706,hitter
Stephen Piscotty,2019,Oakland Athletics,357,46,89,13,44,29,84,.249,.309,.412,.721,hitter
Jurickson Profar,2019,Oakland Athletics,459,65,100,20,67,48,75,.218,.301,.410,.711,hitter
Tanner Roark,2019,Cincinnati Reds,33,2,5,1,2,0,13,.152,.152,.273,.425,hitter
Fernando Rodney,2019,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
