name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Joe Blanton,2006,Oakland Athletics,2,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Hiram Bocachica,2006,Oakland Athletics,13,3,3,0,0,3,4,.231,.375,.231,.606,hitter
Milton Bradley,2006,Oakland Athletics,351,53,97,14,52,51,65,.276,.370,.447,.817,hitter
Jeremy Brown,2006,Oakland Athletics,10,1,3,0,0,1,1,.300,.364,.500,.864,hitter
Kiko Calero,2006,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Eric Chavez,2006,Oakland Athletics,485,74,117,22,72,84,100,.241,.351,.435,.786,hitter
Doug Clark,2006,Oakland Athletics,6,0,1,0,0,0,3,.167,.167,.167,.334,hitter
Bobby Crosby,2006,Oakland Athletics,358,42,82,9,40,36,76,.229,.298,.338,.636,hitter
Justin Duchscherer,2006,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Mark Ellis,2006,Oakland Athletics,441,64,110,11,52,40,76,.249,.319,.385,.704,hitter
Ron Flores,2006,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Chad Gaudin,2006,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Brad Halsey,2006,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Dan Haren,2006,Oakland Athletics,7,0,0,0,0,0,2,.000,.000,.000,.000,hitter
D'Angelo Jimenez,2006,Texas Rangers,57,7,12,1,8,10,6,.211,.328,.316,.644,hitter
Dan Johnson,2006,Oakland Athletics,286,30,67,9,37,40,45,.234,.323,.381,.704,hitter
Jason Kendall,2006,Oakland Athletics,552,76,163,1,50,53,54,.295,.367,.342,.709,hitter
Bobby Kielty,2006,Oakland Athletics,270,35,73,8,36,22,49,.270,.329,.441,.770,hitter
Mark Kotsay,2006,Oakland Athletics,502,57,138,7,59,44,55,.275,.332,.386,.718,hitter
Esteban Loaiza,2006,Oakland Athletics,5,0,0,0,0,0,3,.000,.000,.000,.000,hitter
Adam Melhuse,2006,Oakland Athletics,128,10,28,4,18,9,34,.219,.273,.375,.648,hitter
Jay Payton,2006,Oakland Athletics,557,78,165,10,59,22,52,.296,.325,.418,.743,hitter
Antonio Perez,2006,Oakland Athletics,98,10,10,1,8,10,44,.102,.185,.204,.389,hitter
Mike Rouse,2006,Oakland Athletics,24,2,7,0,2,1,4,.292,.346,.417,.763,hitter
Scott Sauerbeck,2006,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Marco Scutaro,2006,Oakland Athletics,365,52,97,5,41,50,66,.266,.350,.397,.747,hitter
Huston Street,2006,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Nick Swisher,2006,Oakland Athletics,556,106,141,35,95,97,152,.254,.372,.493,.865,hitter
Frank Thomas,2006,Oakland Athletics,466,77,126,39,114,81,81,.270,.381,.545,.926,hitter
Jay Witasick,2006,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Barry Zito,2006,Oakland Athletics,3,0,0,0,0,0,2,.000,.000,.000,.000,hitter
José Bautista,2006,Pittsburgh Pirates,400,58,94,16,51,46,110,.235,.335,.420,.755,hitter
Jason Bay,2006,Pittsburgh Pirates,570,101,163,35,109,102,156,.286,.396,.532,.928,hitter
Jonah Bayliss,2006,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Jeromy Burnitz,2006,Pittsburgh Pirates,313,35,72,16,49,22,74,.230,.289,.422,.711,hitter
Matt Capps,2006,Pittsburgh Pirates,2,1,0,0,0,1,1,.000,.333,.000,.333,hitter
Sean Casey,2006,Pittsburgh Pirates,213,30,63,3,29,23,22,.296,.377,.408,.785,hitter
Jose Castillo,2006,Pittsburgh Pirates,518,54,131,14,65,32,98,.253,.299,.382,.681,hitter
Shawn Chacon,2006,New York Yankees,2,1,0,0,0,1,1,.000,.333,.000,.333,hitter
Humberto Cota,2006,Pittsburgh Pirates,100,5,19,0,5,8,26,.190,.248,.200,.448,hitter
Rajai Davis,2006,Pittsburgh Pirates,14,1,2,0,0,2,3,.143,.250,.214,.464,hitter
Yurendell Decaster,2006,Pittsburgh Pirates,2,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Ryan Doumit,2006,Pittsburgh Pirates,149,15,31,6,17,15,42,.208,.322,.389,.711,hitter
Chris Duffy,2006,Pittsburgh Pirates,314,46,80,2,18,19,71,.255,.317,.338,.655,hitter
Zach Duke,2006,Pittsburgh Pirates,68,2,13,0,7,1,32,.191,.203,.235,.438,hitter
Mike Edwards,2006,Pittsburgh Pirates,16,1,3,0,0,1,5,.188,.235,.188,.423,hitter
Michael Gonzalez,2006,Pittsburgh Pirates,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Tom Gorzelanny,2006,Pittsburgh Pirates,19,0,0,0,1,1,11,.000,.050,.000,.050,hitter
John Grabow,2006,Pittsburgh Pirates,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
José Hernández,2006,Pittsburgh Pirates,120,8,32,2,12,11,29,.267,.328,.350,.678,hitter
Roberto Hernandez,2006,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Paul Maholm,2006,Pittsburgh Pirates,55,3,6,0,2,3,31,.109,.155,.109,.264,hitter
Carlos Maldonado,2006,Pittsburgh Pirates,19,0,2,0,0,1,10,.105,.150,.105,.255,hitter
Damaso Marte,2006,Pittsburgh Pirates,2,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Marty McLeary,2006,Pittsburgh Pirates,5,0,0,0,0,0,3,.000,.000,.000,.000,hitter
Nate McLouth,2006,Pittsburgh Pirates,270,50,63,7,16,18,59,.233,.293,.385,.678,hitter
Xavier Nady,2006,New York Mets,265,37,70,14,40,19,51,.264,.326,.487,.813,hitter
Ronny Paulino,2006,Pittsburgh Pirates,442,37,137,6,55,34,79,.310,.360,.394,.754,hitter
Juan Pablo Perez,2006,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Oliver Pérez,2006,Pittsburgh Pirates,25,0,3,0,3,0,8,.120,.120,.120,.240,hitter
Joe Randa,2006,Pittsburgh Pirates,206,23,55,4,28,16,26,.267,.316,.388,.704,hitter
Britt Reames,2006,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Brian Rogers,2006,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Freddy Sanchez,2006,Pittsburgh Pirates,582,85,200,6,85,31,52,.344,.378,.473,.851,hitter
Victor Santos,2006,Pittsburgh Pirates,38,4,6,0,1,0,13,.158,.158,.184,.342,hitter
Josh Sharpless,2006,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Ian Snell,2006,Pittsburgh Pirates,54,2,3,0,2,2,28,.056,.089,.074,.163,hitter
Salomon Torres,2006,Pittsburgh Pirates,5,0,1,0,0,0,3,.200,.200,.200,.400,hitter
Ryan Vogelsong,2006,Pittsburgh Pirates,3,1,1,0,0,2,2,.333,.600,.333,.933,hitter
Kip Wells,2006,Pittsburgh Pirates,11,0,1,0,0,0,8,.091,.091,.091,.182,hitter
Craig Wilson,2006,Pittsburgh Pirates,255,38,68,13,41,24,88,.267,.339,.478,.817,hitter
Jack Wilson,2006,Pittsburgh Pirates,543,70,148,8,35,33,65,.273,.316,.370,.686,hitter
Shane Youman,2006,Pittsburgh Pirates,7,0,3,0,1,0,3,.429,.429,.429,.858,hitter
Jon Adkins,2006,San Diego Padres,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Manny Alexander,2006,San Diego Padres,34,2,6,0,4,2,5,.176,.216,.265,.481,hitter
Josh Bard,2006,Boston Red Sox,18,2,5,0,0,3,3,.278,.381,.333,.714,hitter
Josh Barfield,2006,San Diego Padres,539,72,151,13,58,30,81,.280,.318,.423,.741,hitter
Mark Bellhorn,2006,San Diego Padres,253,26,48,8,27,32,90,.190,.285,.344,.629,hitter
Geoff Blum,2006,San Diego Padres,276,27,70,4,34,17,51,.254,.293,.366,.659,hitter
Rob Bowen,2006,San Diego Padres,94,22,23,3,13,13,26,.245,.339,.394,.733,hitter
Russell Branyan,2006,Tampa Bay Devil Rays,169,23,34,12,27,19,62,.201,.286,.473,.759,hitter
Dewon Brazelton,2006,San Diego Padres,4,0,1,0,1,0,2,.250,.250,.500,.750,hitter
Doug Brocail,2006,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Jim Brower,2006,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Mike Cameron,2006,San Diego Padres,552,88,148,22,83,71,142,.268,.355,.482,.837,hitter
Scott Cassidy,2006,San Diego Padres,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Vinny Castilla,2006,San Diego Padres,254,24,59,4,23,9,46,.232,.260,.319,.579,hitter
Jack Cust,2006,San Diego Padres,3,1,1,0,0,0,1,.333,.333,.333,.666,hitter
Alan Embree,2006,San Diego Padres,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Shawn Estes,2006,San Diego Padres,1,0,0,0,0,1,0,.000,.500,.000,.500,hitter
Brian Giles,2006,San Diego Padres,604,87,159,14,83,104,60,.263,.374,.397,.771,hitter
Adrián González,2006,San Diego Padres,570,83,173,24,82,52,113,.304,.362,.500,.862,hitter
Khalil Greene,2006,San Diego Padres,412,56,101,15,55,39,87,.245,.320,.427,.747,hitter
Clay Hensley,2006,San Diego Padres,48,2,4,0,2,3,28,.083,.137,.104,.241,hitter
Trevor Hoffman,2006,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
