name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Austin Allen,2021,Oakland Athletics,8,2,2,1,1,0,3,.250,.250,.625,.875,hitter
Elvis Andrus,2021,Oakland Athletics,497,60,121,3,37,31,81,.243,.294,.320,.614,hitter
Luis Barrera,2021,Oakland Athletics,8,1,2,0,0,0,2,.250,.250,.250,.500,hitter
Chris Bassitt,2021,Oakland Athletics,2,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Cam Bedrosian,2021,Cincinnati Reds,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Skye Bolt,2021,San Francisco Giants,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Seth Brown,2021,Oakland Athletics,281,43,60,20,48,23,89,.214,.274,.480,.754,hitter
Mark Canha,2021,Oakland Athletics,519,93,120,17,61,77,128,.231,.358,.387,.745,hitter
Andrew Chafin,2021,Chicago Cubs,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Matt Chapman,2021,Oakland Athletics,529,75,111,27,72,80,202,.210,.314,.403,.717,hitter
Khris Davis,2021,Texas Rangers,51,8,8,2,5,8,16,.157,.262,.333,.595,hitter
Jake Diekman,2021,Oakland Athletics,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Michael Feliz,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Aramis Garcia,2021,Oakland Athletics,88,8,18,3,7,1,28,.205,.239,.318,.557,hitter
Yan Gomes,2021,Washington Nationals,218,30,59,9,35,13,47,.271,.323,.454,.777,hitter
Deolis Guerra,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Josh Harrison,2021,Washington Nationals,320,39,94,6,38,25,50,.294,.366,.434,.800,hitter
Cole Irvin,2021,Oakland Athletics,5,0,1,0,1,0,2,.200,.200,.200,.400,hitter
James Kaprielian,2021,Oakland Athletics,3,1,1,0,0,0,2,.333,.333,.333,.666,hitter
Tony Kemp,2021,Oakland Athletics,330,54,92,8,37,52,51,.279,.382,.418,.800,hitter
Adam Kolarek,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Pete Kozma,2021,Oakland Athletics,11,0,1,0,0,1,4,.091,.167,.091,.258,hitter
Ramón Laureano,2021,Oakland Athletics,341,43,84,14,39,27,98,.246,.317,.443,.760,hitter
Jed Lowrie,2021,Oakland Athletics,457,55,112,14,69,49,108,.245,.318,.398,.716,hitter
Jesús Luzardo,2021,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Vimael Machín,2021,Oakland Athletics,32,1,4,0,1,3,10,.125,.200,.125,.325,hitter
Sean Manaea,2021,Oakland Athletics,4,0,2,0,0,0,1,.500,.500,.750,1.250,hitter
Starling Marte,2021,Miami Marlins,233,52,71,7,25,32,57,.305,.405,.451,.856,hitter
Frankie Montas,2021,Oakland Athletics,4,0,0,0,0,0,3,.000,.000,.000,.000,hitter
Mitch Moreland,2021,Oakland Athletics,229,28,52,10,30,18,58,.227,.286,.415,.701,hitter
Sean Murphy,2021,Oakland Athletics,393,47,85,17,59,40,114,.216,.306,.405,.711,hitter
Matt Olson,2021,Oakland Athletics,565,101,153,39,111,88,113,.271,.371,.540,.911,hitter
Yusmeiro Petit,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Chad Pinder,2021,Oakland Athletics,214,30,52,6,27,16,62,.243,.300,.411,.711,hitter
Stephen Piscotty,2021,Oakland Athletics,173,14,38,5,16,13,48,.220,.282,.353,.635,hitter
Sergio Romo,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Frank Schwindel,2021,Oakland Athletics,20,2,3,1,3,0,5,.150,.150,.350,.500,hitter
Burch Smith,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Ka'ai Tom,2021,Oakland Athletics,16,1,1,0,1,0,6,.063,.063,.063,.126,hitter
Lou Trivino,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Jordan Weems,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
J.B. Wendelken,2021,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Jacob Wilson,2021,Oakland Athletics,7,1,1,0,0,0,1,.143,.143,.143,.286,hitter
Anthony Alford,2021,Pittsburgh Pirates,133,14,31,5,11,12,58,.233,.311,.406,.717,hitter
Tanner Anderson,2021,Pittsburgh Pirates,2,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Tyler Anderson,2021,Pittsburgh Pirates,37,1,4,1,1,0,27,.108,.108,.189,.297,hitter
Anthony Banda,2021,New York Mets,1,1,0,0,0,0,0,.000,.000,.000,.000,hitter
David Bednar,2021,Pittsburgh Pirates,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Steven Brault,2021,Pittsburgh Pirates,6,0,1,0,0,0,2,.167,.167,.333,.500,hitter
JT Brubaker,2021,Pittsburgh Pirates,38,0,3,0,3,4,15,.079,.167,.079,.246,hitter
Trevor Cahill,2021,Pittsburgh Pirates,9,0,1,0,0,0,4,.111,.111,.111,.222,hitter
Rodolfo Castro,2021,Pittsburgh Pirates,86,9,17,5,8,6,27,.198,.258,.395,.653,hitter
Michael Chavis,2021,Boston Red Sox,79,12,15,2,6,1,32,.190,.207,.342,.549,hitter
Roansy Contreras,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Will Craig,2021,Pittsburgh Pirates,60,5,13,1,3,5,22,.217,.277,.300,.577,hitter
Kyle Crick,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Wil Crowe,2021,Pittsburgh Pirates,35,2,2,0,0,1,14,.057,.108,.086,.194,hitter
Oneil Cruz,2021,Pittsburgh Pirates,9,2,3,1,3,0,4,.333,.333,.667,1.000,hitter
Austin Davis,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Taylor Davis,2021,Pittsburgh Pirates,5,0,2,0,0,1,0,.400,.500,.400,.900,hitter
Chase De Jong,2021,Pittsburgh Pirates,12,1,1,0,0,0,5,.083,.083,.167,.250,hitter
Enyel De Los Santos,2021,Philadelphia Phillies,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Wilmer Difo,2021,Pittsburgh Pirates,219,25,59,4,24,20,54,.269,.329,.384,.713,hitter
Phillip Evans,2021,Pittsburgh Pirates,214,23,44,5,16,28,53,.206,.312,.299,.611,hitter
Michael Feliz,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Dustin Fowler,2021,Pittsburgh Pirates,41,3,7,0,2,3,20,.171,.239,.195,.434,hitter
Adam Frazier,2021,Pittsburgh Pirates,386,58,125,4,32,35,46,.324,.388,.448,.836,hitter
Todd Frazier,2021,Pittsburgh Pirates,35,3,3,0,4,3,6,.086,.200,.114,.314,hitter
Ben Gamel,2021,Cleveland Indians,14,1,1,0,0,3,6,.071,.235,.143,.378,hitter
Erik González,2021,Pittsburgh Pirates,220,17,51,2,21,8,40,.232,.258,.300,.558,hitter
Geoff Hartlieb,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Ke'Bryan Hayes,2021,Pittsburgh Pirates,362,49,93,6,38,31,87,.257,.316,.373,.689,hitter
Clay Holmes,2021,Pittsburgh Pirates,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Sam Howard,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Kyle Keller,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Mitch Keller,2021,Pittsburgh Pirates,28,2,3,0,0,2,14,.107,.167,.107,.274,hitter
Max Kranick,2021,Pittsburgh Pirates,12,0,0,0,0,0,5,.000,.000,.000,.000,hitter
Chad Kuhl,2021,Pittsburgh Pirates,21,1,1,0,0,1,11,.048,.091,.048,.139,hitter
Nick Mears,2021,Pittsburgh Pirates,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Shelby Miller,2021,Chicago Cubs,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Colin Moran,2021,Pittsburgh Pirates,318,29,82,10,50,36,87,.258,.334,.390,.724,hitter
Kevin Newman,2021,Pittsburgh Pirates,517,50,117,5,39,27,41,.226,.265,.309,.574,hitter
John Nogowski,2021,St. Louis Cardinals,18,2,1,0,0,1,2,.056,.150,.056,.206,hitter
Jared Oliva,2021,Pittsburgh Pirates,40,4,7,0,2,3,10,.175,.233,.225,.458,hitter
Connor Overton,2021,Toronto Blue Jays,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Luis Oviedo,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Hunter Owen,2021,Pittsburgh Pirates,4,0,0,0,0,0,3,.000,.200,.000,.200,hitter
Hoy Park,2021,New York Yankees,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Michael Pérez,2021,Pittsburgh Pirates,210,19,30,7,21,19,68,.143,.221,.290,.511,hitter
Dillon Peters,2021,Pittsburgh Pirates,5,1,0,0,0,1,4,.000,.167,.000,.167,hitter
Gregory Polanco,2021,Pittsburgh Pirates,336,38,70,11,36,36,104,.208,.283,.354,.637,hitter
Cody Ponce,2021,Pittsburgh Pirates,6,0,0,0,0,0,4,.000,.000,.000,.000,hitter
Sean Poppen,2021,Pittsburgh Pirates,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Bryan Reynolds,2021,Pittsburgh Pirates,559,93,169,24,90,75,119,.302,.390,.522,.912,hitter
Richard Rodríguez,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Chasen Shreve,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Shea Spitzbarth,2021,Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Jacob Stallings,2021,Pittsburgh Pirates,374,38,92,8,53,49,85,.246,.335,.369,.704,hitter
Troy Stokes Jr.,2021,Pittsburgh Pirates,18,2,2,0,2,1,5,.111,.200,.167,.367,hitter
Chris Stratton,2021,Pittsburgh Pirates,2,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Ka'ai Tom,2021,Oakland Athletics,16,1,1,0,1,0,6,.063,.063,.063,.126,hitter
Yoshi Tsutsugo,2021,Tampa Bay Rays,78,5,13,0,5,8,27,.167,.244,.218,.462,hitter
Cole Tucker,2021,Pittsburgh Pirates,117,15,26,2,12,13,33,.222,.298,.342,.640,hitter
Duane Underwood Jr.,2021,Pittsburgh Pirates,4,0,0,0,0,0,4,.000,.000,.000,.000,hitter
Ildemaro Vargas,2021,Chicago Cubs,21,3,3,0,2,3,7,.143,.250,.238,.488,hitter
Bryse Wilson,2021,Atlanta Braves,12,0,1,0,0,0,5,.083,.154,.083,.237,hitter
Miguel Yajure,2021,Pittsburgh Pirates,3,0,0,0,0,0,3,.000,.000,.000,.000,hitter
Austin Adams,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Dan Altavilla,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Shaun Anderson,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
John Andreoli,2021,San Diego Padres,6,2,1,0,0,1,3,.167,.286,.333,.619,hitter
Jake Arrieta,2021,Chicago Cubs,21,2,2,0,0,2,16,.095,.208,.095,.303,hitter
Pedro Avila,2021,San Diego Padres,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Daniel Camarena,2021,San Diego Padres,3,1,1,1,4,0,2,.333,.333,1.333,1.666,hitter
Luis Campusano,2021,San Diego Padres,34,0,3,0,1,4,11,.088,.184,.088,.272,hitter
Victor Caratini,2021,San Diego Padres,313,33,71,7,39,35,82,.227,.309,.323,.632,hitter
Ivan Castillo,2021,San Diego Padres,3,0,1,0,1,1,0,.333,.500,.333,.833,hitter
Nabil Crismatt,2021,San Diego Padres,10,0,0,0,0,0,6,.000,.000,.000,.000,hitter
Jake Cronenworth,2021,San Diego Padres,567,94,151,21,71,55,90,.266,.340,.460,.800,hitter
Yu Darvish,2021,San Diego Padres,53,2,5,0,1,0,25,.094,.111,.132,.243,hitter
Ross Detwiler,2021,Miami Marlins,3,0,1,0,0,0,2,.333,.333,.333,.666,hitter
Miguel Díaz,2021,San Diego Padres,3,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Adam Frazier,2021,Pittsburgh Pirates,386,58,125,4,32,35,46,.324,.388,.448,.836,hitter
Trent Grisham,2021,San Diego Padres,462,61,112,15,62,54,119,.242,.327,.413,.740,hitter
Javy Guerra,2021,San Diego Padres,0,1,0,0,0,0,0,.000,.000,.000,.000,hitter
Tim Hill,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Eric Hosmer,2021,San Diego Padres,509,53,137,12,65,48,99,.269,.337,.395,.732,hitter
Daniel Hudson,2021,Washington Nationals,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Pierce Johnson,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Keone Kela,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Ha-Seong Kim,2021,San Diego Padres,267,27,54,8,34,22,71,.202,.270,.352,.622,hitter
Patrick Kivlehan,2021,San Diego Padres,4,3,1,0,2,2,3,.250,.500,.250,.750,hitter
Reiss Knehr,2021,San Diego Padres,8,0,0,0,0,0,5,.000,.000,.000,.000,hitter
Dinelson Lamet,2021,San Diego Padres,6,0,0,0,0,1,6,.000,.143,.000,.143,hitter
Manny Machado,2021,San Diego Padres,564,92,157,28,106,63,102,.278,.347,.489,.836,hitter
Tucupita Marcano,2021,San Diego Padres,44,7,8,0,3,6,9,.182,.280,.205,.485,hitter
Jake Marisnick,2021,Chicago Cubs,128,17,29,5,22,9,43,.227,.294,.438,.732,hitter
Jorge Mateo,2021,San Diego Padres,87,10,18,2,6,2,27,.207,.250,.322,.572,hitter
Mark Melancon,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Adrian Morejon,2021,San Diego Padres,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Joe Musgrove,2021,San Diego Padres,51,2,7,0,1,1,23,.137,.151,.176,.327,hitter
Wil Myers,2021,San Diego Padres,442,56,113,17,63,54,141,.256,.334,.434,.768,hitter
Austin Nola,2021,San Diego Padres,173,15,47,2,29,14,19,.272,.340,.376,.716,hitter
Aaron Northcraft,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
James Norwood,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Brian O'Grady,2021,San Diego Padres,51,8,8,2,9,8,17,.157,.267,.333,.600,hitter
Chris Paddack,2021,San Diego Padres,35,0,1,0,0,1,26,.029,.081,.029,.110,hitter
Emilio Pagán,2021,San Diego Padres,2,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Tommy Pham,2021,San Diego Padres,475,74,109,15,49,78,128,.229,.340,.383,.723,hitter
Drew Pomeranz,2021,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
