name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Nick Allen,2024,Oakland Athletics,97,6,17,1,4,5,20,.175,.216,.247,.463,hitter
Armando Alvarez,2024,Oakland Athletics,37,7,9,0,2,2,8,.243,.282,.270,.552,hitter
Miguel Andujar,2024,Oakland Athletics,302,31,86,4,30,13,42,.285,.320,.377,.697,hitter
JJ Bleday,2024,Oakland Athletics,572,74,139,20,60,67,125,.243,.324,.437,.761,hitter
Seth Brown,2024,Oakland Athletics,372,32,86,14,44,25,112,.231,.283,.379,.662,hitter
Lawrence Butler,2024,Oakland Athletics,412,63,108,22,57,35,108,.262,.317,.490,.807,hitter
Daz Cameron,2024,Oakland Athletics,170,22,34,5,15,13,51,.200,.258,.329,.587,hitter
J.D. Davis,2024,Oakland Athletics,123,12,29,4,5,9,30,.236,.304,.366,.670,hitter
Aledmys Díaz,2024,Oakland Athletics,29,2,3,0,1,1,7,.103,.133,.103,.236,hitter
Zack Gelof,2024,Oakland Athletics,497,60,105,17,49,38,188,.211,.270,.362,.632,hitter
Tristan Gray,2024,Miami Marlins,7,0,0,0,0,0,3,.000,.000,.000,.000,hitter
Brett Harris,2024,Oakland Athletics,103,15,15,3,12,17,25,.146,.276,.262,.538,hitter
Darell Hernaiz,2024,Oakland Athletics,120,8,23,1,12,11,27,.192,.261,.242,.503,hitter
Shea Langeliers,2024,Oakland Athletics,482,58,108,29,80,41,145,.224,.288,.450,.738,hitter
Kyle McCann,2024,Oakland Athletics,140,13,33,5,15,16,59,.236,.318,.371,.689,hitter
Tyler Nevin,2024,Oakland Athletics,245,22,50,7,20,25,64,.204,.288,.331,.619,hitter
Ryan Noda,2024,Oakland Athletics,95,8,13,1,4,14,37,.137,.255,.211,.466,hitter
Brent Rooker,2024,Oakland Athletics,546,82,160,39,112,59,177,.293,.365,.562,.927,hitter
Esteury Ruiz,2024,Oakland Athletics,55,10,11,2,8,4,20,.200,.270,.382,.652,hitter
Max Schuemann,2024,Oakland Athletics,396,55,87,7,34,47,119,.220,.311,.308,.619,hitter
Tyler Soderstrom,2024,Oakland Athletics,189,18,44,9,26,20,53,.233,.315,.429,.744,hitter
Abraham Toro,2024,Oakland Athletics,337,34,81,6,26,20,62,.240,.293,.350,.643,hitter
Jacob Wilson,2024,Oakland Athletics,92,11,23,0,3,8,10,.250,.314,.315,.629,hitter
Ji Hwan Bae,2024,Pittsburgh Pirates,74,11,14,0,6,6,24,.189,.247,.216,.463,hitter
Joey Bart,2024,Pittsburgh Pirates,253,38,67,13,45,22,73,.265,.337,.462,.799,hitter
Jalen Beeks,2024,Colorado Rockies,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Billy Cook,2024,Pittsburgh Pirates,49,5,11,3,8,0,19,.224,.224,.449,.673,hitter
Oneil Cruz,2024,Pittsburgh Pirates,541,72,140,21,76,51,181,.259,.324,.449,.773,hitter
Henry Davis,2024,Pittsburgh Pirates,104,9,15,1,5,13,45,.144,.242,.212,.454,hitter
Bryan De La Cruz,2024,Miami Marlins,424,44,104,18,51,25,118,.245,.289,.417,.706,hitter
Jason Delay,2024,Pittsburgh Pirates,15,1,3,0,6,3,0,.200,.333,.400,.733,hitter
Nick Gonzales,2024,Pittsburgh Pirates,359,42,97,7,49,18,74,.270,.311,.398,.709,hitter
Yasmani Grandal,2024,Pittsburgh Pirates,215,26,49,9,27,24,46,.228,.304,.400,.704,hitter
Ke'Bryan Hayes,2024,Pittsburgh Pirates,365,38,85,4,25,23,75,.233,.283,.290,.573,hitter
Connor Joe,2024,Pittsburgh Pirates,364,49,83,9,36,44,91,.228,.320,.368,.688,hitter
Isiah Kiner-Falefa,2024,Toronto Blue Jays,257,32,75,7,33,13,37,.292,.338,.420,.758,hitter
Grant Koch,2024,Pittsburgh Pirates,7,1,0,0,0,1,6,.000,.125,.000,.125,hitter
Andrew McCutchen,2024,Pittsburgh Pirates,448,66,104,20,50,58,133,.232,.328,.411,.739,hitter
Billy McKinney,2024,Pittsburgh Pirates,25,4,5,0,2,2,13,.200,.286,.240,.526,hitter
Edward Olivares,2024,Pittsburgh Pirates,174,22,39,5,23,16,37,.224,.291,.333,.624,hitter
Joshua Palacios,2024,Pittsburgh Pirates,67,10,15,2,9,10,12,.224,.333,.343,.676,hitter
Liover Peguero,2024,Pittsburgh Pirates,10,0,2,0,2,0,3,.200,.200,.300,.500,hitter
Bryan Reynolds,2024,Pittsburgh Pirates,622,73,171,24,88,57,156,.275,.344,.447,.791,hitter
Jack Suwinski,2024,Pittsburgh Pirates,247,29,45,9,26,27,79,.182,.264,.324,.588,hitter
Michael A. Taylor,2024,Pittsburgh Pirates,269,35,52,5,21,23,105,.193,.253,.290,.543,hitter
Rowdy Tellez,2024,Pittsburgh Pirates,383,38,93,13,56,31,89,.243,.299,.392,.691,hitter
Jared Triolo,2024,Pittsburgh Pirates,394,41,85,9,46,42,118,.216,.296,.315,.611,hitter
Alika Williams,2024,Pittsburgh Pirates,87,13,18,0,5,3,22,.207,.242,.299,.541,hitter
Nick Yorke,2024,Pittsburgh Pirates,37,4,8,2,5,4,12,.216,.286,.378,.664,hitter
Nick Ahmed,2024,San Francisco Giants,155,13,36,1,15,10,35,.232,.278,.303,.581,hitter
Luis Arraez,2024,Miami Marlins,137,22,41,0,5,8,11,.299,.347,.372,.719,hitter
Pedro Avila,2024,Cleveland Guardians,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
José Azocar,2024,San Diego Padres,73,13,16,0,2,5,19,.219,.269,.247,.516,hitter
Matthew Batten,2024,San Diego Padres,3,0,1,0,0,0,0,.333,.333,1.000,1.333,hitter
Xander Bogaerts,2024,San Diego Padres,428,50,113,11,44,28,79,.264,.307,.381,.688,hitter
Jhony Brito,2024,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Luis Campusano,2024,San Diego Padres,277,37,63,8,40,20,41,.227,.281,.361,.642,hitter
