name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Daric Barton,2007,Oakland Athletics,72,16,25,4,8,10,11,.347,.429,.639,1.068,hitter
Joe Blanton,2007,Oakland Athletics,4,0,0,0,0,0,3,.000,.000,.000,.000,hitter
Hiram Bocachica,2007,Oakland Athletics,17,2,1,1,3,2,5,.059,.150,.235,.385,hitter
Rob Bowen,2007,San Diego Padres,82,12,22,2,11,13,28,.268,.371,.439,.810,hitter
Milton Bradley,2007,Oakland Athletics,65,6,19,2,7,8,14,.292,.373,.446,.819,hitter
Dee Brown,2007,Oakland Athletics,3,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Travis Buck,2007,Oakland Athletics,285,41,82,7,34,39,66,.288,.377,.474,.851,hitter
Kiko Calero,2007,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Santiago Casilla,2007,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Eric Chavez,2007,Oakland Athletics,341,43,82,15,46,34,76,.240,.306,.446,.752,hitter
Bobby Crosby,2007,Oakland Athletics,349,40,79,8,31,23,62,.226,.278,.341,.619,hitter
Jack Cust,2007,Oakland Athletics,395,61,101,26,82,105,164,.256,.408,.504,.912,hitter
Jeff DaVanon,2007,Arizona Diamondbacks,26,5,4,0,1,5,8,.154,.303,.231,.534,hitter
Lenny DiNardo,2007,Oakland Athletics,4,0,1,0,0,0,2,.250,.250,.250,.500,hitter
Mark Ellis,2007,Oakland Athletics,583,84,161,19,76,44,94,.276,.336,.441,.777,hitter
Alan Embree,2007,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Ron Flores,2007,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
J.J. Furmaniak,2007,Oakland Athletics,17,5,3,0,1,3,8,.176,.364,.235,.599,hitter
Chad Gaudin,2007,Oakland Athletics,3,1,0,0,0,1,2,.000,.250,.000,.250,hitter
Jack Hannahan,2007,Oakland Athletics,144,16,40,3,24,21,39,.278,.369,.424,.793,hitter
Rich Harden,2007,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Dan Haren,2007,Oakland Athletics,4,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Dan Johnson,2007,Oakland Athletics,416,53,98,18,62,72,77,.236,.349,.418,.767,hitter
Jason Kendall,2007,Oakland Athletics,292,24,66,2,22,12,27,.226,.261,.281,.542,hitter
Joe Kennedy,2007,Oakland Athletics,3,1,1,0,2,0,0,.333,.333,.667,1.000,hitter
Bobby Kielty,2007,Oakland Athletics,35,4,7,0,3,3,9,.200,.275,.229,.504,hitter
Mark Kotsay,2007,Oakland Athletics,206,20,44,1,20,19,20,.214,.279,.296,.575,hitter
Ryan Langerhans,2007,Atlanta Braves,44,3,3,0,1,6,16,.068,.192,.091,.283,hitter
