name,year,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Brett Anderson,2009,Oakland Athletics,3,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Andrew Bailey,2009,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Daric Barton,2009,Oakland Athletics,160,31,43,3,24,26,25,.269,.372,.413,.785,hitter
Dallas Braden,2009,Oakland Athletics,3,0,0,0,0,0,2,.000,.000,.000,.000,hitter
Craig Breslow,2009,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Travis Buck,2009,Oakland Athletics,105,11,23,3,10,10,20,.219,.287,.333,.620,hitter
Orlando Cabrera,2009,Oakland Athletics,414,41,116,4,41,25,39,.280,.318,.365,.683,hitter
Trevor Cahill,2009,Oakland Athletics,2,1,1,0,0,0,0,.500,.500,.500,1.000,hitter
Matt Carson,2009,Oakland Athletics,21,1,6,1,5,0,7,.286,.273,.429,.702,hitter
Santiago Casilla,2009,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Eric Chavez,2009,Oakland Athletics,30,0,3,0,1,1,7,.100,.129,.133,.262,hitter
Bobby Crosby,2009,Oakland Athletics,238,35,53,6,29,24,44,.223,.295,.357,.652,hitter
Aaron Cunningham,2009,Oakland Athletics,53,6,8,1,6,3,16,.151,.211,.245,.456,hitter
Jack Cust,2009,Oakland Athletics,513,88,123,25,70,93,185,.240,.356,.417,.773,hitter
Rajai Davis,2009,Oakland Athletics,390,65,119,3,48,29,70,.305,.360,.423,.783,hitter
Chris Denorfia,2009,Oakland Athletics,2,1,0,0,1,0,0,.000,.000,.000,.000,hitter
Mark Ellis,2009,Oakland Athletics,377,52,99,10,61,23,54,.263,.305,.403,.708,hitter
Tommy Everidge,2009,Oakland Athletics,85,13,19,2,7,8,17,.224,.302,.365,.667,hitter
Sean Gallagher,2009,San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Nomar Garciaparra,2009,Oakland Athletics,160,17,45,3,16,8,28,.281,.314,.388,.702,hitter
Jason Giambi,2009,Oakland Athletics,269,39,52,11,40,50,72,.193,.332,.364,.696,hitter
Edgar Gonzalez,2009,Oakland Athletics,2,0,2,0,0,0,0,1.000,1.000,1.000,2.000,hitter
Scott Hairston,2009,San Diego Padres,197,26,59,10,29,17,45,.299,.358,.533,.891,hitter
Jack Hannahan,2009,Oakland Athletics,119,12,23,1,8,13,36,.193,.278,.303,.581,hitter
Matt Holliday,2009,Oakland Athletics,346,52,99,11,54,46,58,.286,.378,.454,.832,hitter
Adam Kennedy,2009,Oakland Athletics,529,65,153,11,63,45,86,.289,.348,.410,.758,hitter
Vin Mazzaro,2009,Oakland Athletics,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Clayton Mortensen,2009,St. Louis Cardinals,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Eric Munson,2009,Oakland Athletics,1,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Josh Outman,2009,Oakland Athletics,2,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Eric Patterson,2009,Oakland Athletics,94,15,27,1,11,14,25,.287,.373,.394,.767,hitter
