team,abbreviation,wins,losses,win_pct,games_behind,streak,rank
Detroit Tigers,DET,31.0,17.0,0.6458333,0.0,-1.0,
New York Yankees,NYY,27.0,19.0,0.5869565,3.0,1.0,
Seattle Mariners,SEA,27.0,19.0,0.5869565,3.0,4.0,
Minnesota Twins,MIN,26.0,21.0,0.5531915,4.5,-1.0,
Kansas City Royals,KC,27.0,22.0,0.5510204,4.5,2.0,
Cleveland Guardians,CLE,25.0,21.0,0.54347825,5.0,-4.0,
Houston Astros,HOU,25.0,22.0,0.5319149,5.5,2.0,
Texas Rangers,TEX,25.0,23.0,0.5208333,6.0,-1.0,
Boston Red Sox,BOS,24.0,25.0,0.48979592,7.5,1.0,
Toronto Blue Jays,TOR,22.0,24.0,0.47826087,8.0,-1.0,
Athletics,ATH,22.0,26.0,0.45833334,9.0,-6.0,
Los Angeles Angels,LAA,21.0,25.0,0.45652175,9.0,4.0,
Tampa Bay Rays,TB,21.0,26.0,0.44680852,9.5,-2.0,
Baltimore Orioles,BAL,15.0,31.0,0.32608697,15.0,-7.0,
Chicago White Sox,CHW,14.0,34.0,0.29166666,17.0,-5.0,
Philadelphia Phillies,PHI,29.0,18.0,0.61702126,0.0,4.0,
Los Angeles Dodgers,LAD,29.0,19.0,0.6041667,0.5,-4.0,
New York Mets,NYM,29.0,19.0,0.6041667,0.5,-2.0,
San Diego Padres,SD,27.0,18.0,0.6,1.0,-3.0,
Chicago Cubs,CHC,28.0,20.0,0.5833333,1.5,-1.0,
San Francisco Giants,SF,28.0,20.0,0.5833333,1.5,-1.0,
St. Louis Cardinals,STL,27.0,21.0,0.5625,2.5,1.0,
Arizona Diamondbacks,ARI,26.0,22.0,0.5416667,3.5,2.0,
Atlanta Braves,ATL,24.0,23.0,0.5106383,5.0,1.0,
Cincinnati Reds,CIN,25.0,24.0,0.5102041,5.0,5.0,
Milwaukee Brewers,MIL,23.0,25.0,0.47916666,6.5,2.0,
Washington Nationals,WSH,21.0,27.0,0.4375,8.5,3.0,
Miami Marlins,MIA,19.0,27.0,0.41304347,9.5,2.0,
Pittsburgh Pirates,PIT,15.0,33.0,0.3125,14.5,-4.0,
Colorado Rockies,COL,8.0,39.0,0.17021276,21.0,-2.0,
