date,home_team,home_score,away_team,away_score,status
2025-05-22,"MIN",6,"CLE",5,"Final"
2025-05-22,"PIT",3,"CIN",1,"Final"
2025-05-22,"MIA",1,"CHC",2,"Final"
2025-05-22,"TB",8,"HOU",4,"Final"
2025-05-22,"MIL",4,"BAL",8,"Final"
2025-05-22,"STL",1,"DET",5,"Final"
2025-05-22,"CHW",5,"SEA",6,"Final"
2025-05-22,"SF",4,"KC",8,"Final"
2025-05-22,"MIN",1,"CLE",5,"Final"
2025-05-22,"WSH",0,"ATL",0,"Postponed"
2025-05-22,"BOS",1,"NYM",5,"Final"
2025-05-22,"NYY",4,"TEX",3,"Final"
2025-05-22,"TOR",14,"SD",0,"Final"
2025-05-22,"COL",5,"PHI",9,"Final"
2025-05-22,"ATH",5,"LAA",10,"Final"
2025-05-22,"LAD",3,"ARI",1,"Final"
